feature,meaning,model_usage
context_text_available,공식 출처에서 100자 이상 브랜드·메뉴 텍스트를 읽었는지 여부,문맥 특징 사용 가능 여부
direct_price_observed,공식 페이지 HTML에서 가격 후보 문자열이 관측되었는지 여부,가격 수준 자체가 아니라 가격 데이터의 관측 여부
menu_bread,"공식 텍스트에 등장한 메뉴 관련 키워드 수: 빵, 베이커리, 브레드, 식빵",브랜드 메뉴 구성 설명용; 가격·성과 예측용 아님
menu_pastry,"공식 텍스트에 등장한 메뉴 관련 키워드 수: 크루아상, 크로와상, 페이스트리, 파이, 프레첼",브랜드 메뉴 구성 설명용; 가격·성과 예측용 아님
menu_cake_dessert,"공식 텍스트에 등장한 메뉴 관련 키워드 수: 케이크, 디저트, 마카롱, 쿠키, 타르트, 초콜릿",브랜드 메뉴 구성 설명용; 가격·성과 예측용 아님
menu_coffee_beverage,"공식 텍스트에 등장한 메뉴 관련 키워드 수: 커피, 아메리카노, 라떼, 음료, 에이드, 티, 주스",브랜드 메뉴 구성 설명용; 가격·성과 예측용 아님
menu_sandwich_meal,"공식 텍스트에 등장한 메뉴 관련 키워드 수: 샌드위치, 샐러드, 파니니, 브런치, 파스타, 간편식",브랜드 메뉴 구성 설명용; 가격·성과 예측용 아님
menu_donut,"공식 텍스트에 등장한 메뉴 관련 키워드 수: 도넛, 도너츠, 꽈배기",브랜드 메뉴 구성 설명용; 가격·성과 예측용 아님
menu_hotdog,"공식 텍스트에 등장한 메뉴 관련 키워드 수: 핫도그, 소시지",브랜드 메뉴 구성 설명용; 가격·성과 예측용 아님
menu_walnut,"공식 텍스트에 등장한 메뉴 관련 키워드 수: 호두과자, 호두, 앙버터",브랜드 메뉴 구성 설명용; 가격·성과 예측용 아님
menu_croquette,"공식 텍스트에 등장한 메뉴 관련 키워드 수: 고로케, 도로케",브랜드 메뉴 구성 설명용; 가격·성과 예측용 아님
menu_churros,"공식 텍스트에 등장한 메뉴 관련 키워드 수: 츄러스, 아츄",브랜드 메뉴 구성 설명용; 가격·성과 예측용 아님
menu_bagel,공식 텍스트에 등장한 메뉴 관련 키워드 수: 베이글,브랜드 메뉴 구성 설명용; 가격·성과 예측용 아님
menu_takeout,"공식 텍스트에 등장한 메뉴 관련 키워드 수: 테이크아웃, 포장, 배달",브랜드 메뉴 구성 설명용; 가격·성과 예측용 아님
menu_gift,"공식 텍스트에 등장한 메뉴 관련 키워드 수: 선물, 답례품, 기프트, 세트",브랜드 메뉴 구성 설명용; 가격·성과 예측용 아님
text_tfidf_svd_01,공식 텍스트 TF-IDF를 8차원으로 축소한 문맥 임베딩,유사 브랜드 탐색·보조 실험용; 단독 추천 점수로 사용 금지
text_tfidf_svd_02,공식 텍스트 TF-IDF를 8차원으로 축소한 문맥 임베딩,유사 브랜드 탐색·보조 실험용; 단독 추천 점수로 사용 금지
text_tfidf_svd_03,공식 텍스트 TF-IDF를 8차원으로 축소한 문맥 임베딩,유사 브랜드 탐색·보조 실험용; 단독 추천 점수로 사용 금지
text_tfidf_svd_04,공식 텍스트 TF-IDF를 8차원으로 축소한 문맥 임베딩,유사 브랜드 탐색·보조 실험용; 단독 추천 점수로 사용 금지
text_tfidf_svd_05,공식 텍스트 TF-IDF를 8차원으로 축소한 문맥 임베딩,유사 브랜드 탐색·보조 실험용; 단독 추천 점수로 사용 금지
text_tfidf_svd_06,공식 텍스트 TF-IDF를 8차원으로 축소한 문맥 임베딩,유사 브랜드 탐색·보조 실험용; 단독 추천 점수로 사용 금지
text_tfidf_svd_07,공식 텍스트 TF-IDF를 8차원으로 축소한 문맥 임베딩,유사 브랜드 탐색·보조 실험용; 단독 추천 점수로 사용 금지
text_tfidf_svd_08,공식 텍스트 TF-IDF를 8차원으로 축소한 문맥 임베딩,유사 브랜드 탐색·보조 실험용; 단독 추천 점수로 사용 금지
